"Season","Team","W","L","G_p","GS","CG","ShO","SV","ER","HR_p","BB_p","K_p","pWAR","G_h","AB","PA","H","1B","2B","3B","HR_h","R","RBI","BB_h","K_h","SB","hWAR","Age","WAR","Wins"
1973,"Twins",68,65,296,134,41,15,26,489,85,459,767,21,1713,5602,6301,1517,1116,239,43,119,731,685,592,948,87,21.1,26,42.1,81
1973,"White Sox",67,76,300,138,43,8,35,537,92,519,761,17.2,1719,5159,5782,1326,970,211,37,108,626,571,505,894,81,8.7,25,25.9,77
1973,"Yankees",65,64,255,122,39,8,39,404,81,342,549,13.9,1278,4179,4638,1084,808,159,12,105,508,490,399,527,42,20,28,33.9,80
1974,"Angels",65,89,293,160,64,10,5,524,96,615,944,15.4,1395,4176,4703,1065,828,148,27,62,470,386,380,605,107,13.8,26,29.2,68
1974,"Astros",72,72,411,141,29,13,18,504,76,554,693,11.2,2117,5374,5999,1413,1048,217,41,107,641,594,467,839,108,23.1,26,34.3,81
1974,"Athletics",90,72,378,162,49,11,28,474,90,430,755,23.7,1788,4967,5636,1243,884,200,35,124,663,596,533,800,163,26.6,27.5,50.3,90
1974,"Braves",88,73,360,162,46,15,22,492,94,477,763,25.5,2060,5531,6277,1374,1015,202,37,120,661,599,571,772,72,19.6,27,45.1,88
1974,"Brewers",76,86,349,162,43,6,24,605,126,493,619,9.9,1716,5130,5690,1267,894,218,48,107,612,562,446,833,105,16.6,25,26.5,76
1974,"Cardinals",81,68,372,155,37,12,18,520,94,539,736,13.9,2039,5352,6006,1437,1096,213,45,83,652,595,499,721,172,24.7,25,38.6,86
1974,"Cubs",63,92,475,162,23,5,22,679,118,548,863,18.2,2192,5449,6196,1366,999,218,40,109,648,598,600,829,77,-0.4,26,17.8,66
1974,"Dodgers",102,60,371,162,33,13,23,485,112,464,943,22.7,2024,5557,6332,1511,1107,231,34,139,798,744,597,820,149,37.4,27,60.1,102
1974,"Giants",72,90,454,162,27,9,25,608,116,559,756,10.2,2050,5482,6159,1380,1021,228,38,93,634,568,548,869,107,14.7,25,24.9,72
1974,"Indians",56,42,217,108,40,8,7,365,85,308,466,10.4,1617,5011,5507,1281,960,183,18,120,602,559,392,684,77,18,26,28.4,77
1974,"Mets",69,90,350,162,46,14,12,542,95,490,890,21,2017,5466,6224,1285,985,182,22,96,571,538,597,735,43,6,26,27,71
1974,"Orioles",91,71,347,162,57,15,25,538,101,480,701,16.7,1696,5508,6201,1411,1045,224,27,115,656,601,507,764,144,26.5,25,43.2,91
1974,"Padres",59,95,498,150,24,6,18,699,119,678,837,4.2,2232,5325,6021,1222,901,195,27,99,536,502,556,894,85,1.1,25,5.3,60
1974,"Phillies",73,81,382,162,46,4,15,609,110,645,855,13.4,1988,5365,5981,1406,1039,229,48,90,658,621,458,792,112,18.2,26,31.6,80
1974,"Pirates",88,74,391,162,51,5,17,572,93,543,721,17.4,2035,5638,6297,1551,1154,237,46,114,746,691,510,814,55,28.8,26,46.2,88
1974,"Rangers",81,75,334,159,61,15,12,593,124,428,849,17.6,1547,4859,5484,1321,1010,183,36,92,624,596,468,621,91,19.3,25,36.9,84
1974,"Red Sox",84,78,301,162,71,9,18,601,126,463,751,18.7,1723,5446,6153,1439,1064,235,31,109,693,655,565,804,103,22.8,26,41.5,84
1974,"Reds",98,64,419,163,34,9,27,557,126,536,875,16.4,2163,5535,6373,1437,996,271,35,135,776,714,693,940,146,38.7,26,55.1,98
1974,"Royals",76,83,354,162,54,10,16,559,88,469,717,18.7,1641,5354,6012,1405,1048,227,42,88,646,612,528,731,144,16.8,28,35.5,77
1974,"Tigers",72,90,316,162,54,6,15,675,148,621,869,11.7,1641,5192,5690,1286,944,188,34,120,579,537,400,738,67,6.5,26.5,18.2,72
1974,"Twins",77,74,312,149,43,6,26,519,101,484,848,18.5,1752,5330,5970,1458,1134,177,37,110,639,605,494,752,74,20.6,26.5,39.1,82
1974,"White Sox",80,79,358,161,55,7,29,633,103,536,823,16.9,1794,5553,6210,1489,1106,225,23,135,682,633,518,854,64,18.4,26,35.3,80
1974,"Yankees",60,50,210,113,40,8,15,353,69,344,542,12.5,1531,4581,5167,1222,920,186,26,90,577,546,461,593,45,21.4,27,33.9,89
1975,"Angels",71,89,328,161,59,13,11,613,118,594,946,15.2,1561,4755,5416,1176,919,176,39,42,552,495,510,694,196,7,24,22.2,72
1975,"Astros",64,96,411,162,39,6,25,647,102,675,826,6.8,2094,5514,6211,1401,1045,218,54,84,664,606,523,761,133,18.3,26.5,25.1,64
1975,"Athletics",73,41,314,95,30,6,44,355,72,376,592,14.5,2054,5204,5950,1326,930,214,33,149,732,686,597,822,171,31.5,28,46,98
1975,"Braves",53,66,294,120,29,3,17,429,80,382,484,11,1909,5267,5929,1294,987,173,28,106,574,528,539,725,58,-1.1,27,9.9,67
1975,"Brewers",68,94,385,162,36,8,34,690,133,624,643,3.4,1582,4683,5299,1168,799,208,28,133,599,565,492,818,60,11.9,25,15.3,68
1975,"Cardinals",72,68,356,138,26,9,35,476,86,486,677,10,1801,4946,5491,1358,1040,208,40,70,585,540,401,553,102,15.8,25,25.8,82
1975,"Cubs",73,78,441,149,27,5,32,691,126,521,824,13.5,2089,5446,6297,1417,1053,229,41,94,711,639,649,794,67,8.5,26,22,75
1975,"Dodgers",67,63,271,132,39,13,19,382,84,363,723,17,1968,5340,6112,1335,976,211,31,117,640,597,604,789,138,31.1,27,48.1,88
1975,"Giants",80,81,420,161,37,9,24,595,92,612,856,12.9,1807,4696,5351,1214,897,200,43,74,586,508,538,698,92,13.1,25,26,80
1975,"Indians",58,43,272,100,19,4,29,377,83,403,523,7.5,1717,5335,5983,1397,1020,200,25,152,681,640,519,655,105,19,26,26.5,79
1975,"Mets",76,74,339,157,40,13,28,503,87,530,919,18.5,1920,5202,5815,1332,998,207,27,100,615,575,472,756,29,18,26.5,36.5,82
1975,"Orioles",90,66,297,159,70,19,21,503,109,491,712,16.8,1695,5372,6099,1352,975,220,33,124,671,621,572,822,104,28.9,28,45.7,90
1975,"Padres",68,89,446,156,40,10,20,557,97,511,703,10.6,2007,5165,5843,1266,963,206,20,77,529,485,464,729,80,7.8,26,18.4,71
1975,"Phillies",86,76,442,162,33,9,30,612,110,542,896,16.3,1940,4801,5470,1281,896,234,34,117,642,593,523,856,100,26.4,27,42.7,86
1975,"Pirates",92,69,387,161,43,11,31,482,79,551,768,17,2051,5489,6112,1444,1004,255,47,138,712,669,468,832,50,30.3,27,47.3,92
1975,"Rangers",60,62,323,121,39,8,17,484,101,407,563,7.4,1595,5001,5704,1279,954,184,15,126,644,630,582,812,73,18.2,25,25.6,79
1975,"Red Sox",95,65,327,160,62,10,31,637,145,490,720,14.7,1640,5107,5804,1390,959,261,41,129,743,714,548,727,61,27.4,27,42.1,95
1975,"Reds",108,54,437,162,22,4,50,546,112,485,660,12,2148,5581,6419,1515,1076,278,37,124,840,779,691,916,168,43.4,27,55.4,108
1975,"Royals",90,69,357,160,52,10,25,549,108,488,810,18,1776,5491,6231,1431,992,263,58,118,710,667,591,675,155,22.6,28,40.6,91
1975,"Tigers",57,100,293,159,52,8,14,648,129,519,761,14.6,1539,5210,5680,1315,990,167,37,121,554,528,366,820,63,0.9,26,15.5,57
1975,"Twins",76,83,322,159,57,7,22,643,137,617,846,11.1,1790,5081,5706,1399,1064,200,26,109,654,612,485,661,73,21,26,32.1,76
1975,"White Sox",60,66,306,127,31,3,33,506,83,492,650,13.8,1352,4568,5226,1194,917,174,33,70,546,494,534,615,92,12,24.5,25.8,75
1975,"Yankees",83,77,304,160,70,11,20,513,103,501,807,19.5,1702,5245,5852,1395,1023,225,38,109,672,634,476,688,100,23.8,27,43.3,83
1976,"Angels",76,80,321,158,64,13,17,519,90,530,972,17.1,1716,4801,5431,1124,863,189,23,49,495,440,459,723,124,7.9,25,25,76
1976,"Astros",75,79,377,160,42,15,29,543,78,625,747,7.7,1932,5194,5810,1347,1047,187,50,63,611,546,507,677,150,22.9,25,30.6,80
1976,"Athletics",87,74,394,161,39,13,29,530,96,415,711,17.8,1722,5178,5904,1286,939,205,33,109,672,607,567,783,340,22.3,28,40.1,87
1976,"Braves",64,87,381,162,33,10,18,583,79,537,769,17.5,1675,4280,4934,1031,799,145,28,59,498,456,499,687,69,0.8,26,18.3,70
1976,"Brewers",59,92,280,161,45,8,16,533,91,504,600,8.4,1370,4350,4898,1072,829,137,31,75,468,460,435,726,50,11.6,25.5,20,66
1976,"Cardinals",71,85,395,162,35,11,19,548,83,542,688,8.8,1898,5019,5605,1325,998,224,52,51,574,519,441,775,118,17.6,25,26.4,72
1976,"Cubs",65,68,422,131,23,7,29,538,102,412,671,12.2,2034,5188,5784,1317,994,197,23,103,579,527,460,798,72,7,27,19.2,75
1976,"Dodgers",86,63,290,162,47,16,19,449,95,442,688,13.2,1768,4831,5404,1210,931,175,29,75,528,497,416,634,139,21.3,27,34.5,92
1976,"Giants",74,88,465,162,27,13,31,573,68,518,746,15.1,1846,4464,5018,1081,811,168,31,71,477,466,424,673,76,6.3,25,21.4,74
1976,"Indians",81,75,387,150,30,10,46,525,77,523,909,20.2,1754,5413,6030,1423,1111,189,38,85,615,567,479,631,75,13.7,26,33.9,81
1976,"Mets",84,73,309,162,53,17,24,456,93,402,1007,23.7,1763,4761,5380,1193,900,172,29,92,534,500,479,698,48,20.7,26,44.4,86
1976,"Orioles",64,53,224,117,46,11,11,367,59,328,486,10.5,1624,5121,5719,1258,903,209,28,118,597,557,489,837,149,22.9,28,33.4,88
1976,"Padres",68,83,404,146,45,11,18,538,85,490,611,7.4,1926,4947,5592,1240,947,199,37,57,524,479,460,640,91,18.5,27,25.9,73
1976,"Phillies",101,61,409,162,34,4,44,502,98,397,918,22.7,2170,5528,6237,1505,1091,259,45,110,770,708,542,793,127,32.5,28,55.2,101
1976,"Pirates",90,68,362,162,45,10,32,532,92,444,745,15.9,2029,5604,6177,1499,1084,249,56,110,708,660,433,807,130,28.4,27,44.3,92
1976,"Rangers",62,74,319,126,48,8,15,474,91,381,591,8.3,1523,5109,5751,1292,985,205,25,77,577,548,509,739,82,16.3,26,24.6,76
1976,"Red Sox",79,74,320,162,49,9,19,540,104,384,641,15.3,1733,5350,5979,1416,988,248,51,129,702,645,490,780,93,22.7,28,38,83
1976,"Reds",102,60,436,162,33,8,45,573,100,491,790,14.6,2135,5702,6538,1599,1124,271,63,141,857,802,681,902,210,45.9,27,60.5,102
1976,"Royals",84,65,354,148,37,8,34,478,77,429,662,13.9,1866,5429,6074,1466,1089,255,57,65,706,646,473,623,216,25.9,26.5,39.8,90
1976,"Tigers",72,82,313,149,54,12,20,580,100,516,700,12.1,1667,5097,5648,1332,1008,192,34,98,578,540,434,678,105,11.5,26.5,23.6,74
1976,"Twins",72,63,345,124,20,6,23,498,77,506,624,7.4,1504,4678,5281,1294,995,180,43,76,647,596,456,584,144,23,27,30.4,85
1976,"White Sox",54,85,299,135,38,4,21,610,82,524,711,8.7,1683,5323,5943,1373,1054,203,46,70,570,525,454,707,113,10,25,18.7,64
1976,"Yankees",65,46,223,104,43,7,33,347,67,312,501,10.5,1492,4977,5506,1353,991,214,34,114,670,621,412,542,158,36.7,27.5,47.2,97
1977,"Angels",56,62,200,136,48,11,5,430,88,443,777,14.3,1812,5256,5943,1338,944,227,40,127,658,623,529,859,155,14.9,26.5,29.2,74
1977,"Astros",81,81,396,162,37,7,28,577,110,545,871,14.7,1963,5272,5898,1333,919,252,60,102,644,597,476,799,187,22.6,25,37.3,81
1977,"Athletics",44,73,305,112,28,3,19,446,103,418,613,10.6,1769,4646,5214,1123,836,151,30,106,548,477,444,781,172,5.7,26,16.3,63
1977,"Blue Jays",51,103,323,155,39,3,18,689,144,591,734,9.7,1430,4600,5127,1153,847,192,37,77,498,465,408,655,57,-0.8,25.5,8.9,54
1977,"Braves",60,98,469,157,28,4,31,748,165,683,891,9.1,2174,5534,6206,1404,1027,218,20,139,678,638,537,876,82,-6.5,25,2.6,61
1977,"Brewers",62,87,356,150,36,4,25,639,130,530,681,9.5,1714,5323,5864,1381,963,248,45,125,621,582,416,823,82,11.3,25,20.8,67
1977,"Cardinals",66,59,293,141,25,8,16,464,110,380,580,7.6,1902,5084,5639,1384,1003,236,53,92,678,642,446,743,124,19.4,26,27,83
1977,"Cubs",78,76,425,148,15,6,40,586,114,439,866,23.3,2187,5592,6274,1487,1069,270,37,111,690,649,534,791,64,6.2,27,29.5,81
1977,"Dodgers",98,64,400,162,34,11,39,528,119,438,930,23.3,2156,5560,6295,1476,1034,223,28,191,766,725,586,891,114,29.5,28,52.8,98
1977,"Giants",75,87,474,162,27,7,33,609,114,529,854,14.9,2064,5097,5798,1302,925,209,38,130,641,597,556,820,88,14.5,26,29.4,75
1977,"Indians",68,86,343,161,45,6,23,621,127,514,832,18.8,1538,4861,5503,1294,966,195,44,89,599,561,484,624,84,12.6,27,31.4,71
1977,"Mariners",49,81,324,126,14,0,25,577,153,449,630,5,1663,5413,5998,1381,1000,215,33,133,620,582,423,765,110,9.5,25,14.5,64
1977,"Mets",48,87,352,129,20,6,28,505,97,400,753,14.4,1768,4376,4957,1104,804,197,26,77,513,454,473,697,93,12,26,26.4,64
1977,"Orioles",89,58,268,161,65,11,18,561,114,453,702,16.2,1883,5480,6159,1429,1026,230,25,148,717,675,560,941,90,26.1,27,42.3,97
1977,"Padres",68,91,506,149,6,2,44,676,151,610,775,2.8,2128,5188,5877,1299,925,225,46,103,652,576,549,951,131,15.5,25,18.3,69
1977,"Phillies",98,53,379,154,31,4,46,558,129,434,798,16.7,2009,5174,5878,1438,969,244,51,174,784,746,541,760,108,34.9,29,51.6,101
1977,"Pirates",96,66,439,162,25,6,39,594,149,485,886,16.6,1976,5440,6001,1505,1055,269,56,125,707,643,443,839,256,27.4,26,44,96
1977,"Rangers",74,55,290,119,40,10,28,442,104,377,684,14.4,1560,4874,5605,1319,928,237,36,118,697,614,539,758,150,28.7,26.5,43.1,94
1977,"Red Sox",96,62,334,161,40,11,39,618,150,353,731,18.5,1563,5440,6109,1533,1010,255,56,212,853,822,524,896,66,29.7,27.5,48.2,97
1977,"Reds",57,52,317,104,15,6,24,482,117,383,569,3.3,1941,5312,6018,1468,987,265,40,176,782,729,585,853,169,31.8,28,35.1,88
1977,"Royals",102,60,381,162,41,10,42,576,110,499,850,20.7,1836,5595,6268,1549,1027,299,77,146,822,773,522,687,170,29.8,27,50.5,102
1977,"Tigers",70,78,338,140,39,3,23,595,142,429,738,15.8,1671,5595,6168,1478,1040,227,45,166,714,676,452,762,60,13.6,25.5,29.4,74
1977,"Twins",84,77,403,161,35,4,25,702,151,507,737,10.8,1828,5639,6382,1588,1132,273,60,123,867,804,563,754,105,23.4,26,34.2,84
1977,"White Sox",77,64,332,141,32,2,39,583,117,468,733,11.7,1638,5466,6126,1526,1035,249,50,192,827,793,534,647,38,19.3,26,31,90
1977,"Yankees",84,49,279,128,36,9,34,483,118,399,662,13.7,1564,5177,5767,1474,1016,248,45,165,774,727,479,604,92,35.7,28,49.4,100
1978,"Angels",86,75,346,160,44,10,33,587,123,585,884,12.9,1706,5472,6206,1417,1055,226,28,108,691,646,539,682,86,17.1,27,30,87
1978,"Astros",74,88,380,162,48,13,23,581,86,578,930,14.4,1998,5149,5666,1346,1018,221,44,63,573,529,382,701,178,16.4,25,30.8,74
1978,"Athletics",66,93,423,162,26,6,29,574,105,577,746,13.4,1709,4046,4488,1006,768,149,26,63,398,349,311,557,110,3.5,25,16.9,69
1978,"Blue Jays",57,102,341,161,35,3,23,688,143,583,728,8.5,1445,4669,5168,1160,864,184,39,73,498,452,381,548,26,2.6,26,11.1,59
1978,"Braves",63,83,399,149,27,6,10,597,113,583,742,9.8,1971,5219,5894,1280,929,190,39,122,592,549,546,837,90,5.7,25,15.5,69
1978,"Brewers",93,69,335,162,62,16,24,583,109,398,577,14.9,1588,5451,6123,1515,1045,261,38,171,794,751,508,794,95,34.9,25.5,49.8,93
1978,"Cardinals",67,88,397,152,30,9,22,536,85,574,819,11.8,1858,4880,5372,1204,872,229,43,60,525,486,372,639,94,7.4,25,19.2,69
1978,"Cubs",70,73,388,146,24,7,36,545,98,415,631,13.9,2021,5007,5681,1310,1002,202,44,62,606,547,522,672,106,11.4,26,25.3,79
1978,"Dodgers",95,66,350,162,46,13,38,492,104,437,795,18.1,1852,4916,5594,1313,914,230,27,142,651,646,511,725,108,30.8,29,48.9,95
1978,"Giants",89,73,396,161,42,16,29,527,84,449,831,19,1822,4664,5304,1165,811,213,36,105,549,505,475,722,72,18.6,27.5,37.6,89
1978,"Indians",63,78,282,143,35,5,20,506,83,473,624,14.2,1463,4286,4779,1124,847,176,35,66,508,433,358,473,54,9.4,26,23.6,69
1978,"Mariners",53,94,389,141,25,4,20,676,134,529,604,7.6,1622,5033,5679,1235,906,205,34,90,571,526,498,658,120,6.1,26,13.7,56
1978,"Mets",58,91,379,162,21,5,21,591,110,495,738,10.3,2014,5404,6098,1327,970,225,47,85,604,557,544,821,100,15,26,25.3,66
1978,"Orioles",90,71,322,161,65,14,33,566,107,509,754,16.7,1895,5422,6081,1397,976,248,19,154,659,612,552,864,75,27.5,27,44.2,90
1978,"Padres",70,64,360,133,18,5,55,416,49,413,650,17.8,1996,4883,5554,1235,931,194,40,70,555,504,506,790,147,16.7,25,34.5,84
1978,"Phillies",73,65,332,142,29,7,26,458,99,336,700,15.1,1989,5247,5930,1362,957,244,30,131,684,639,535,823,152,32.7,28.5,47.8,90
1978,"Pirates",88,71,417,161,30,9,43,539,101,487,865,17.9,2005,5373,6005,1385,978,238,54,115,681,631,478,867,212,18.8,28,36.7,88
1978,"Rangers",81,67,261,162,54,11,11,513,101,383,705,20.1,1601,4797,5499,1207,875,198,32,102,598,560,543,652,158,17.6,27.5,37.7,87
1978,"Red Sox",97,62,327,161,57,14,25,570,137,451,683,16.6,1583,5541,6262,1481,997,267,46,171,789,732,574,827,73,24,27.5,40.6,99
1978,"Reds",91,68,445,161,16,3,44,600,121,550,883,12.2,2166,5245,6020,1354,926,264,31,133,700,650,613,865,137,25.6,28,37.8,92
1978,"Royals",90,64,348,150,52,11,33,507,103,441,623,14.2,1774,5337,5962,1433,982,295,58,98,727,681,470,628,213,26.9,27,41.1,92
1978,"Tigers",84,72,295,162,60,12,17,581,134,482,666,14.6,1672,5601,6299,1520,1139,218,34,129,714,666,563,695,90,24.5,25,39.1,86
1978,"Twins",73,89,338,162,48,5,26,601,102,520,703,17.5,1812,5522,6326,1472,1084,259,47,82,666,621,604,684,99,19.8,27,37.3,73
1978,"White Sox",71,90,361,161,38,7,33,663,128,586,710,6.7,1678,4989,5521,1315,980,201,36,98,593,556,387,558,72,12.2,27,18.9,71
1978,"Yankees",97,62,331,159,39,12,36,490,103,457,792,20.4,1682,5399,6014,1440,1058,224,37,121,709,667,488,661,98,27.1,27,47.5,100
1979,"Angels",85,74,343,161,46,9,27,669,126,551,798,15.3,1514,5128,5827,1467,1036,230,37,164,817,779,545,774,87,25.8,26,41.1,88
1979,"Astros",86,69,361,159,55,17,31,481,81,479,803,17.2,1977,5227,5843,1343,1025,220,52,46,568,524,445,719,190,18.1,26,35.3,89
1979,"Athletics",52,100,391,149,40,3,20,718,134,618,676,7.6,1588,5045,5622,1212,896,181,30,105,543,522,447,730,96,-7.6,26,0,54
1979,"Blue Jays",53,109,347,162,44,6,11,745,162,589,606,7.1,1608,5257,5814,1324,956,244,33,91,595,542,422,639,74,2.7,27,9.8,53
1979,"Braves",65,93,400,159,32,1,34,620,128,473,728,15.1,2050,5416,6029,1389,1015,220,28,126,669,626,490,816,98,3,25.5,18.1,66
1979,"Brewers",92,63,344,153,61,12,23,595,151,361,546,12.1,1579,5536,6227,1552,1035,291,41,185,807,766,549,745,100,30.5,27,42.6,95
1979,"Cardinals",86,76,438,163,38,7,25,617,127,501,788,12.1,2110,5734,6347,1594,1152,279,63,100,731,685,460,838,116,26.9,26,39,86
1979,"Cubs",69,76,359,161,20,5,40,576,121,457,841,17.7,1914,4901,5426,1331,938,227,42,124,618,608,390,691,53,11.5,26,29.2,80
1979,"Dodgers",70,77,329,162,30,5,27,580,98,514,771,15.8,2060,5490,6188,1443,1016,220,24,183,739,713,556,834,106,25.9,30,41.7,79
1979,"Giants",62,78,385,144,23,5,28,584,128,505,769,4.8,1979,5021,5723,1242,912,180,34,116,625,566,555,878,129,10.5,27,15.3,71
1979,"Indians",80,80,389,161,28,5,31,720,137,556,774,14.7,1505,4628,5334,1165,863,171,24,107,641,572,558,685,127,8.1,27,22.8,81
1979,"Mariners",60,83,310,152,36,5,25,626,141,494,646,13.9,1851,5544,6207,1490,1056,250,52,132,711,676,515,725,126,16.4,25.5,30.3,67
1979,"Mets",47,74,350,135,14,5,28,446,92,418,634,10.5,1803,4464,5014,1122,818,206,32,66,458,473,432,682,92,9.7,26,20.2,63
1979,"Orioles",102,57,326,159,52,10,30,522,133,467,786,19.1,1779,5330,6058,1390,928,257,24,181,752,716,601,843,98,32,28,51.1,102
1979,"Padres",68,93,440,161,29,5,25,598,108,513,779,11.5,1980,4837,5483,1155,853,161,49,92,540,500,477,686,86,14.9,26,26.4,68
1979,"Phillies",82,78,417,162,33,10,29,658,132,471,783,13.2,2126,5416,6166,1443,1024,247,53,119,679,632,594,756,127,29,28,42.2,84
1979,"Pirates",91,59,436,152,24,2,50,510,116,445,843,17.2,1917,4761,5322,1275,866,221,48,140,652,599,420,811,151,21.6,29,38.8,98
1979,"Rangers",78,68,341,139,25,5,42,525,116,461,692,14.9,1620,4846,5391,1332,970,225,23,114,652,618,394,548,69,19.5,27.5,34.4,83
1979,"Red Sox",90,67,350,160,47,9,29,625,133,456,724,20.1,1515,4828,5399,1353,884,266,29,174,749,700,454,641,54,25.6,27,45.7,91
1979,"Reds",87,69,407,161,27,7,38,553,100,472,750,17,1849,5074,5753,1362,961,249,27,125,686,631,559,818,99,27.5,27,44.5,90
1979,"Royals",85,77,397,162,42,7,27,713,165,531,639,7.5,1697,5481,6160,1552,1082,278,77,115,831,768,515,639,206,27.6,27,35.1,85
1979,"Tigers",84,76,381,160,25,2,37,677,167,547,802,13,1591,4872,5491,1308,945,195,33,135,690,635,502,762,168,17,25,30,85
1979,"Twins",82,80,366,162,31,3,33,660,127,446,718,19.7,1867,5490,6240,1531,1124,252,46,109,756,708,523,682,66,16.4,25,36.1,82
1979,"White Sox",69,74,325,152,28,9,20,579,106,557,591,10.6,1589,4744,5275,1315,922,259,29,105,642,579,404,603,95,16.8,25,27.4,73
1979,"Yankees",81,63,281,153,43,8,32,526,106,397,660,20.2,1479,4529,5085,1186,851,179,32,124,600,582,442,485,57,17.5,27.5,37.7,89
1980,"Angels",55,89,356,152,22,3,20,643,120,454,615,9.2,1543,4906,5493,1292,960,214,32,86,616,554,443,787,88,7.4,27,16.6,65
1980,"Astros",93,70,409,163,31,13,41,512,69,466,929,21.6,2131,5566,6254,1455,1082,231,67,75,637,599,540,755,194,24.1,27,45.7,93
1980,"Athletics",83,79,307,162,94,8,13,571,142,521,769,13.8,1723,5495,6160,1424,1040,212,35,137,686,635,506,824,175,27.5,26,41.3,83
1980,"Blue Jays",61,77,409,136,37,7,23,584,119,568,642,9,1783,5516,6086,1383,958,247,53,125,620,571,440,808,67,6.8,26,15.8,67
1980,"Braves",81,80,450,161,29,9,37,598,131,454,696,13.4,2187,5380,5937,1346,955,225,22,144,628,595,432,895,73,13,27,26.4,81
1980,"Brewers",86,76,393,162,48,12,30,601,137,420,575,10.1,1598,5653,6242,1555,1018,298,36,203,811,774,455,745,131,32.4,27,42.5,86
1980,"Cardinals",66,81,410,148,28,7,23,577,84,462,628,8.8,2079,5587,6181,1538,1088,300,49,101,737,687,450,779,117,27.4,26,36.2,74
1980,"Cubs",64,98,506,162,13,3,35,639,109,589,923,14.5,2291,5423,5991,1365,990,243,35,97,586,544,442,877,93,3,27.5,17.5,64
1980,"Dodgers",91,68,410,162,24,15,41,514,101,459,810,16,2195,5559,6212,1460,1080,208,24,148,662,638,492,846,123,27,29,43,92
1980,"Giants",75,86,438,159,27,6,35,541,87,482,797,12.6,2071,5327,6004,1303,982,197,44,80,572,539,508,833,100,9.1,27,21.7,75
1980,"Indians",75,76,371,149,33,7,32,687,126,528,825,14,1559,4856,5556,1348,1038,195,34,81,658,613,546,558,109,15.4,27,29.4,79
1980,"Mariners",57,100,362,159,31,3,23,671,152,513,656,12.7,1793,5419,6068,1343,998,209,34,102,602,555,480,717,116,1.4,27,14.1,59
1980,"Mets",67,95,486,162,17,6,33,626,140,510,886,7.1,1988,5040,5655,1303,1019,198,35,51,556,504,467,746,139,10.1,26,17.2,67
1980,"Orioles",100,62,351,162,42,7,41,591,134,507,789,15.5,1863,5580,6277,1522,1079,258,29,156,805,751,587,765,111,31.9,26,47.4,100
1980,"Padres",71,86,420,163,19,4,38,568,95,500,684,9.1,1986,4813,5467,1224,959,170,36,59,541,458,515,712,234,20.8,26,29.9,73
1980,"Phillies",91,71,429,162,25,5,38,566,87,524,883,20.2,2182,5625,6269,1517,1074,272,54,117,728,674,472,708,140,25,26,45.2,91
1980,"Pirates",82,78,424,161,25,5,43,573,108,444,823,16.8,2066,5468,6071,1460,1058,248,38,116,665,621,445,752,209,20.7,29,37.5,83
1980,"Rangers",65,65,322,129,27,1,17,498,87,396,684,14.5,1837,5463,6074,1561,1153,258,26,124,729,710,476,566,86,18.7,28,33.2,76
1980,"Red Sox",82,74,391,156,30,3,43,673,123,469,692,16.3,1650,5546,6138,1570,1078,295,36,161,752,711,471,717,79,24.1,27,40.4,83
1980,"Reds",89,73,425,163,30,9,37,624,113,506,833,13.5,2016,5362,6033,1397,993,249,45,110,693,644,524,844,156,23.7,27,37.2,89
1980,"Royals",97,65,363,162,37,8,42,623,129,465,614,12.8,1745,5638,6271,1614,1176,264,59,115,801,760,501,702,185,31.1,27,43.9,97
1980,"Tigers",84,78,365,163,40,9,30,689,151,552,738,13.9,1619,4958,5655,1361,975,204,49,133,743,688,567,748,68,20.9,25,34.8,84
1980,"Twins",77,84,374,161,35,6,30,634,120,468,744,18.1,1825,5530,6131,1468,1071,252,46,99,670,634,436,703,62,12.5,26,30.6,77
1980,"White Sox",70,90,398,162,32,5,42,625,108,563,724,14,1712,4861,5368,1268,915,232,35,86,525,497,365,574,57,6.8,25,20.8,70
1980,"Yankees",96,51,343,145,29,12,49,510,97,417,800,22.3,1816,5389,6147,1448,996,233,33,186,806,758,636,704,86,29.6,27.5,51.9,103
1981,"Angels",51,59,265,110,27,5,19,400,81,323,426,7.7,1122,3658,4150,937,692,133,16,96,471,434,384,563,44,16,29,23.7,51
1981,"Astros",59,46,265,107,23,13,25,280,38,288,592,15.5,1210,3177,3574,820,609,139,30,42,338,326,289,415,62,16.3,27,31.8,61
1981,"Athletics",61,43,205,104,59,11,9,346,76,345,459,8,1086,3377,3783,845,610,111,24,100,424,409,316,607,97,20.9,27,28.9,64
1981,"Blue Jays",35,60,282,95,19,2,18,369,65,342,422,7.7,1154,3474,3837,786,567,135,23,61,324,310,282,550,66,-1.4,26,6.3,37
1981,"Braves",50,56,322,107,11,4,24,371,62,330,471,10.8,1497,3631,4043,885,651,148,22,64,394,366,319,538,98,8.4,27,19.2,50
1981,"Brewers",62,47,308,109,11,1,35,428,72,352,448,7.8,1130,3743,4152,961,672,173,20,96,493,475,300,461,39,14.9,28,22.7,62
1981,"Cardinals",50,42,287,95,10,2,32,333,46,274,345,6.9,1327,3333,3801,895,651,153,43,48,443,414,374,459,78,20.4,26,27.3,59
1981,"Cubs",27,44,308,66,3,1,19,309,45,312,399,4.1,1459,3466,3893,824,603,137,29,55,365,340,334,599,72,-1.7,27.5,2.4,38
