"Season","Team","W","L","G_p","GS","CG","ShO","SV","ER","HR_p","BB_p","K_p","pWAR","G_h","AB","PA","H","1B","2B","3B","HR_h","R","RBI","BB_h","K_h","SB","hWAR","Age","WAR","Wins"
1952,"White Sox",81,68,337,149,52,13,28,487,83,559,758,18.3,1443,3979,4527,1030,795,149,28,58,464,425,402,371,43,17.7,28,36,81
1952,"Yankees",85,52,251,146,70,17,21,436,84,520,631,11.8,1617,4941,5595,1328,946,206,52,124,681,641,533,607,45,37.5,28,49.3,95
1953,"Athletics",59,95,322,157,51,6,11,731,121,594,566,12.2,1611,4824,5331,1256,930,181,32,113,577,536,438,550,38,12.8,29,25,59
1953,"Braves",92,62,316,157,72,14,15,508,107,539,738,16.8,1844,5349,5895,1422,987,227,52,156,738,691,439,637,46,21.1,28,37.9,92
1953,"Cardinals",74,65,315,156,51,10,29,590,127,474,680,16.2,1822,5255,5912,1448,976,277,56,139,755,713,566,592,18,23.4,28,39.6,83
1953,"Cubs",56,75,311,125,35,3,20,582,124,435,518,9.9,1527,4210,4643,1104,790,163,51,100,494,445,361,596,42,5.1,28,15,65
1953,"Dodgers",105,49,360,155,51,9,29,617,165,504,812,15.6,1885,5364,6129,1529,988,274,59,208,954,887,655,682,90,41,27,56.6,105
1953,"Giants",66,82,348,148,43,9,20,604,139,576,599,9,1890,5287,5870,1437,1022,194,45,176,765,737,490,600,31,19,29,28,70
1953,"Indians",81,52,237,141,75,10,11,490,87,466,520,12.3,1719,4948,5624,1346,972,193,27,154,726,686,561,632,32,28.5,29,40.8,92
1953,"Phillies",82,70,316,153,74,12,15,563,138,387,621,17.9,1689,5025,5611,1320,941,213,56,110,666,629,494,560,37,18.4,27,36.3,83
1953,"Pirates",44,85,322,127,36,3,10,664,146,445,492,8.8,1477,3948,4414,979,739,129,43,68,460,392,372,558,37,0.1,25,8.9,50
1953,"Red Sox",82,63,354,142,40,13,37,516,87,554,611,20.1,1788,4911,5492,1307,927,244,35,101,616,577,456,570,32,11.5,26.5,31.6,84
1953,"Reds",46,66,260,113,31,5,9,532,141,349,355,4.5,1759,5216,5772,1370,985,186,34,165,703,662,479,673,25,15.1,27,19.6,68
1953,"Tigers",44,63,273,103,32,0,11,576,107,408,445,5.5,1723,4922,5431,1313,958,235,38,82,599,547,439,525,28,12.5,27.5,18,60
1953,"White Sox",64,54,265,113,39,12,29,408,87,427,562,11.7,1720,4712,5416,1235,911,205,52,67,663,606,543,454,68,16.1,29,27.8,89
1953,"Yankees",97,50,299,150,50,16,37,462,89,471,584,13.3,1848,5106,5865,1400,988,225,52,135,786,748,650,629,33,33.7,28,47,99
1954,"Athletics",42,86,257,136,45,3,7,648,115,606,452,2.3,1646,4765,5324,1128,835,176,40,77,492,457,459,590,29,-2.7,27,-0.4,51
1954,"Braves",88,64,335,154,63,13,20,488,106,544,691,14.9,1784,5260,5920,1395,998,217,41,139,670,636,471,619,54,21.4,26.5,36.3,89
1954,"Cardinals",72,80,399,152,40,10,18,675,164,515,656,11.2,2032,5388,6107,1516,1054,285,58,119,798,747,579,583,63,24.8,28,36,72
1954,"Cubs",64,90,364,154,41,4,19,688,131,619,622,13.8,1630,4872,5398,1286,895,206,42,143,645,570,408,615,43,9.8,28,23.6,64
1954,"Dodgers",91,61,362,154,39,8,33,626,155,512,737,15.7,1818,5225,6028,1415,927,246,56,186,777,737,632,621,46,28.4,27,44.1,92
1954,"Giants",97,57,384,154,45,17,33,470,112,602,686,15.8,1934,5222,5910,1382,963,192,42,185,730,697,520,552,30,24.8,27,40.6,97
1954,"Indians",109,43,313,156,77,12,36,438,89,474,675,20.1,1829,4924,5708,1286,933,174,37,142,713,666,602,628,30,29.2,30,49.3,111
1954,"Orioles",49,87,240,143,58,6,3,513,67,610,588,9.1,1558,4390,4893,1098,859,161,38,40,390,379,363,504,28,4.3,29,13.4,54
1954,"Phillies",61,68,226,135,68,11,9,455,114,379,504,14.9,1627,5092,5832,1373,971,243,57,102,657,618,597,585,30,21.9,27,36.8,75
